"","turnover","extinction.fraction","net.div","speciation","extinction","treeName","taxon_id_in_phy","tipName","nturnover","neps","AIC","AICc","AIC_weight","AICc_weight","deltaAIC","deltaAICc","root_type","elapsed_mins_recon","elapsed_mins_params_all_models_together","eps","fixed.eps"
"12046",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",66,"t54",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12047",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",67,"t19",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12048",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",68,"t92",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12049",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",69,"t98",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12050",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",70,"t20",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12051",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",71,"t86",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12052",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",72,"t18",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12053",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",73,"t30",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12054",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",74,"t59",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12055",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",75,"t22",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12056",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",76,"t15",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12057",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",77,"t23",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12058",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",78,"t35",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12059",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",79,"t13",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12060",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",80,"t53",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12061",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",81,"t84",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12062",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",82,"t55",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12063",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",83,"t56",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
"12064",2.06115362243856e-09,3,-1.03057681121928e-09,5.15288405609639e-10,1.54586521682892e-09,"netDivConstantVariance_801",84,"t93",2,4,476.274182676683,477.491573981031,0.00168311354133601,0.00103971893588895,10.7880637457169,11.7554550500647,"madfitz",0.213503269354502,12.3617233514786,NA,NA
