,species,max_height_m,,
242,Eucalyptus_panda,20,,
241,Eucalyptus_melanoleuca,30,,
240,Eucalyptus_decorticans,40,,
239,Eucalyptus_decolor,25,,
238,Eucalyptus_rhombica,20,,
237,Eucalyptus_dura,25,,
236,Eucalyptus_chlorophylla,18,,
235,Eucalyptus_limitaris,8,,
234,Eucalyptus_tectifica,15,,
233,Eucalyptus_raveretiana,30,,
232,Eucalyptus_coolabah,10,,
231,Eucalyptus_acroleuca,15,,
230,Eucalyptus_rudderi,30,,
229,Eucalyptus_populnea,20,,
228,Eucalyptus_viridis,8,,
227,Eucalyptus_argophloia,30,,
226,Eucalyptus_exilipes,35,,
225,Eucalyptus_howittiana,25,,
224,Eucalyptus_pruinosa,10,(mean of subsp),
223,Eucalyptus_sicilifolia,10,,
222,Eucalyptus_distans,7,,
221,Eucalyptus_conica,20,,
220,Eucalyptus_dawsonii,20,,
219,Eucalyptus_orgadophila,20,,
218,Eucalyptus_tholiformis,15,,
217,Eucalyptus_magnificata,8,,
216,Eucalyptus_thozetiana,17,,
215,Eucalyptus_ophitica,10,,
214,Eucalyptus_ochrophloia,15,,
213,Eucalyptus_sideroxylon,25,,
212,Eucalyptus_castrensis,no_info_yet,,
211,Eucalyptus_placita,30,,
210,Eucalyptus_lucens,5,,
209,Eucalyptus_fasciculosa,10,,
208,Eucalyptus_polyanthemos,22,(mean of subsp),
207,Eucalyptus_patellaris,15,,
206,Eucalyptus_farinosa,9,,
205,Eucalyptus_intertexta,20,,
204,Eucalyptus_granitica,20,,
203,Eucalyptus_beaniana,10,,
202,Eucalyptus_beyeriana,20,,
201,Eucalyptus_fusiformis,30,,
200,Eucalyptus_moluccana,30,,
199,Eucalyptus_largiflorens,20,,
198,Eucalyptus_microtheca,10,,
197,Eucalyptus_brevifolia,10,,
196,Eucalyptus_confluens,8,,
195,Eucalyptus_persistens,11,(mean of subsp),
194,Eucalyptus_leptophleba,20,,
193,Eucalyptus_oligantha,12,,
192,Eucalyptus_obconica,8,,
191,Eucalyptus_koolpinensis,5,,
190,Eucalyptus_atrata,10,,
189,Eucalyptus_virens,25,,
188,Eucalyptus_quadricostata,10,,
187,Eucalyptus_albens,25,,
186,Eucalyptus_ancophila,35,,
185,Eucalyptus_paedoglauca,10,,
184,Eucalyptus_melanophloia,13,,
183,Eucalyptus_pilligaensis,no_info_yet,,
182,Eucalyptus_normantonensis,5,,
181,Eucalyptus_microcarpa,25,,
180,Eucalyptus_polybractea,8,,
179,Eucalyptus_cladocalyx,35,,
178,Eucalyptus_froggattii,10,,
177,Eucalyptus_bosistoana,60,,
176,Eucalyptus_melliodora,30,,
175,Eucalyptus_tricarpa,35,,
174,Eucalyptus_leucoxylon,19,(mean of subsp),
173,Eucalyptus_largeana,40,,
172,Eucalyptus_siderophloia,20,,
171,Eucalyptus_petiolaris,15,,
170,Eucalyptus_paniculata,30,,
169,Eucalyptus_lansdowneana,6,,
168,Eucalyptus_behriana,12,,
167,Eucalyptus_porosa,12,,
166,Eucalyptus_baueriana,20,,
165,Eucalyptus_percostata,10,,
164,Eucalyptus_concinna,6,,
163,Eucalyptus_oraria,7,,
162,Eucalyptus_petraea,5,,
161,Eucalyptus_absita,10,,
160,Eucalyptus_cuprea,6,,
159,Eucalyptus_ceratocorys,6,,
158,Eucalyptus_calycogona,5,(mean of subsp),
157,Eucalyptus_celastroides,9,(mean of subsp),
156,Eucalyptus_prolixa,10,,
155,Eucalyptus_yilgarnensis,10,,
154,Eucalyptus_gracilis,7,,
153,Eucalyptus_halophila,4,,
152,Eucalyptus_quadrans,5,,
151,Eucalyptus_exigua,3,,
150,Eucalyptus_rugosa,10,,
149,Eucalyptus_aequioperta,10,,
148,Eucalyptus_subangusta,6,(mean of subsp),
147,Eucalyptus_rigens,4,,
146,Eucalyptus_woodwardii,10,,
145,Eucalyptus_dundasii,15,,
144,Eucalyptus_leptocalyx,5,,
143,Eucalyptus_scyphocalyx,no_info_yet,,
142,Eucalyptus_pimpiniana,2,,
141,Eucalyptus_cylindrocarpa,6,,
140,Eucalyptus_tetraptera,4,,
139,Eucalyptus_websteriana,5,,
138,Eucalyptus_litorea,6,,
137,Eucalyptus_lesouefii,15,,
136,Eucalyptus_deflexa,3,,
135,Eucalyptus_famelica,4,,
134,Eucalyptus_melanoxylon,15,,
133,Eucalyptus_griffithsii,10,,
132,Eucalyptus_merrickiae,4,,
131,Eucalyptus_ovularis,12,,
130,Eucalyptus_surgens,2,,
129,Eucalyptus_brevipes,5,,
128,Eucalyptus_transcontinentalis,12,,
127,Eucalyptus_platycorys,8,,
126,Eucalyptus_calcareana,8,,
125,Eucalyptus_captiosa,no_info_yet,,
124,Eucalyptus_stoatei,6,,
123,Eucalyptus_forrestiana,4,,
122,Eucalyptus_incrassata,8,,
121,Eucalyptus_singularis,6,,
120,Eucalyptus_angulosa,5,,
119,Eucalyptus_dolichorhyncha,6,,
118,Eucalyptus_retusa,4,,
117,Eucalyptus_cretata,4,,
116,Eucalyptus_canescens,3,,
115,Eucalyptus_phenax,8,(mean of subsp),
114,Eucalyptus_dumosa,10,,
113,Eucalyptus_cyanophylla,5,,
112,Eucalyptus_fraseri,15,(mean of subsp),
111,Eucalyptus_pterocarpa,10,,
110,Eucalyptus_brachycalyx,10,,
109,Eucalyptus_valens,10,,
108,Eucalyptus_conglobata,5,,
107,Eucalyptus_argutifolia,4,,
106,Eucalyptus_frenchiana,12,,
105,Eucalyptus_nerthicola,no_info_yet,,
104,Eucalyptus_distuberosa,14,,
103,Eucalyptus_assimilans,no_info_yet,,
102,Eucalyptus_pileata,6,,
101,Eucalyptus_spreta,10,,
100,Eucalyptus_clelandii,no_info_yet,,
99,Eucalyptus_torquata,12,,
98,Eucalyptus_gypsophila,6,,
97,Eucalyptus_myriadena,10,,
96,Eucalyptus_tenuis,10,,
95,Eucalyptus_vittata,14,,
94,Eucalyptus_obtusiflora,4,,
93,Eucalyptus_kondininensis,9,(mean of subsp),
92,Eucalyptus_polita,15,,
91,Eucalyptus_georgei,14,(mean of subsp),
90,Eucalyptus_corrugata,15,,
89,Eucalyptus_brachycorys,no_info_yet,,
88,Eucalyptus_comitae,7,,
87,Eucalyptus_medialis,5,,
86,Eucalyptus_arachnae,8,(mean of subsp),
85,Eucalyptus_histophylla,6,,
84,Eucalyptus_melanophitra,7,,
83,Eucalyptus_clivicola,12,,
